ID,ideology,leadership,name,district,party,description,introduced_bills_118,cosponsored_bills_118,unique_cosponsors_118,total_cosponsors_118
412761,0.3243559052163461,0.7296890194300799,Neguse,CO2,Democrat,centrist Democrat,108,722,252,720
412606,0.30940921310870617,0.6054284341693066,Norcross,NJ1,Democrat,rank-and-file Democrat,20,353,186,544
412804,0.09839400432422361,0.47814792618588653,Ocasio-Cortez,NY14,Democrat,progressive Democrat,11,378,132,379
412795,0.44203787657420324,0.8207879439285672,Pappas,NH1,Democrat,centrist Democratic leader,41,543,299,671
400309,0.26875940855322444,0.7129923229071622,Pascrell,NJ9,Democrat,rank-and-file Democrat,20,310,198,343
412758,0.18400588811972537,0.7184050218362326,Porter,CA47,Democrat,rank-and-file Democrat,85,766,229,703
412782,0.06560171019112086,0.7609324353076818,Pressley,MA7,Democrat,progressive Democratic leader,41,364,221,1150
400349,0.2993747750536129,0.13947236830656665,Ruppersberger,MD2,Democrat,moderate Democratic follower,3,328,19,21
412750,0.12246232009143931,0.40672077754603764,Scanlon,PA5,Democrat,progressive Democrat,19,493,121,211
412534,0.33683072556878974,0.9160893832210558,Schneider,IL10,Democrat,centrist Democratic leader,34,395,216,502
412799,0.3206443283404788,0.6281389536723185,Sherrill,NJ11,Democrat,rank-and-file Democrat,40,410,220,553
412833,0.4396486502156917,0.6646390445148885,Spanberger,VA7,Democrat,centrist Democrat,38,397,244,503
412753,0.3482806709546808,0.4477761387758226,Stanton,AZ4,Democrat,centrist Democrat,24,252,121,168
400355,0.17685829697598426,0.8361239368975767,Sánchez,CA38,Democrat,moderate Democratic leader,21,499,269,850
412319,0.20051098887151675,0.8343791685679244,Tonko,NY20,Democrat,moderate Democratic leader,30,639,237,493
412781,0.22236596730967972,0.4962310476359383,Trahan,MA3,Democrat,rank-and-file Democrat,14,395,166,225
412751,0.30003134928936664,0.6102880674901291,Wild,PA7,Democrat,rank-and-file Democrat,17,532,230,365
400111,0.2210753897159439,0.8193351301873142,Doggett,TX37,Democrat,moderate Democratic leader,24,428,224,963
412434,0.736081023344618,0.26601937933731185,Harris,MD1,Republican,rank-and-file Republican,2,219,0,0
412674,0.6106962184360927,0.8314310677433957,LaHood,IL16,Republican,moderate Republican leader,37,233,387,1222
400380,0.612008152848294,0.9489911633630675,Smith,NJ4,Republican,moderate Republican leader,54,378,359,853
412548,0.6418045857009465,0.7554068988767403,Wagner,MO2,Republican,moderate Republican leader,24,158,344,625
412564,0.695927594963278,0.6834280578816494,Wenstrup,OH2,Republican,moderate Republican leader,35,250,320,711
412691,0.7372323430168267,0.36174446091291074,Dunn,FL2,Republican,rank-and-file Republican,21,370,167,251
412660,0.7254234269450158,0.6494780099035715,Newhouse,WA4,Republican,moderate Republican leader,44,323,270,722
412802,0.4212219105928274,0.5915041942614151,Lee,NV3,Democrat,centrist Democrat,23,364,170,295
412769,0.26094695538044577,0.6358030508038235,McBath,GA7,Democrat,rank-and-file Democrat,18,322,237,571
400308,0.22761709070674038,0.6732531670844792,Pallone,NJ6,Democrat,rank-and-file Democrat,18,247,174,331
412835,0.34526652452319145,0.43701774228959234,Schrier,WA8,Democrat,centrist Democrat,25,315,119,197
400363,0.2497367255798683,0.5880613040163574,Scott,GA13,Democrat,rank-and-file Democrat,16,271,142,277
412318,0.22365309458710517,0.7071304071109056,Titus,NV1,Democrat,rank-and-file Democrat,42,820,251,607
412796,0.7119841003118135,0.6328229371626921,Van Drew,NJ2,Republican,moderate Republican leader,53,494,136,217
412763,0.0967073458930605,0.6477040196698526,Hayes,CT5,Democrat,progressive Democrat,33,699,202,765
400402,0.1622276429996476,0.6019369622024222,Thompson,MS2,Democrat,progressive Democrat,14,374,164,298
412777,0.7579946248507062,0.44697845187705926,Baird,IN4,Republican,conservative Republican,16,352,173,257
412746,0.7308354009695222,0.6027538351780589,Cloud,TX27,Republican,rank-and-file Republican,17,197,174,494
412824,0.2769313183669682,0.5294223144084265,Fletcher,TX7,Democrat,rank-and-file Democrat,10,327,205,276
412723,0.5045160705138928,0.34432376576467305,González-Colón,,Republican,centrist Republican,45,302,92,176
400247,0.5389388385990194,0.42411873204115885,Lucas,OK3,Republican,centrist Republican,22,80,123,194
412738,0.9757452510313911,0.5960996925490417,Norman,SC5,Republican,conservative Republican,24,484,174,367
412786,0.2724491972231976,0.5479306260498719,Stevens,MI11,Democrat,rank-and-file Democrat,31,447,276,450
412574,1.0,0.5975111768680769,Weber,TX14,Republican,conservative Republican,22,651,310,559
412615,0.21411364061915988,0.30396192485598456,Aguilar,CA33,Democrat,moderate Democratic follower,27,144,80,106
412625,0.7585467658640086,0.41701841111642046,Allen,GA12,Republican,conservative Republican,18,230,152,390
412541,0.6877196341154835,0.6996106982020136,Barr,KY6,Republican,moderate Republican leader,44,284,226,535
400654,0.5989901597970536,0.9969034669861159,McCaul,TX10,Republican,moderate Republican leader,33,232,435,1909
400411,0.5168293667932169,0.23283504582670264,Turner,OH10,Republican,centrist Republican follower ,15,151,97,112
412610,0.6710992452795213,0.5994824447922055,Westerman,AR4,Republican,rank-and-file Republican,16,166,125,208
400077,0.5896635759920581,0.34726900018008744,Cole,OK4,Republican,rank-and-file Republican,31,175,87,138
400075,0.2861506806104509,0.5780653742625692,Clyburn,SC6,Democrat,rank-and-file Democrat,8,112,175,231
412819,0.7031694193383501,0.567725051287553,Green,TN7,Republican,rank-and-file Republican,44,209,178,457
412261,0.5225725676908758,0.4863935057481271,Scalise,LA1,Republican,centrist Republican,12,32,88,109
412702,0.777663035043994,0.7645491097531056,Banks,IN3,Republican,conservative Republican leader,45,228,245,546
412675,0.6873295879369947,0.5023158536414858,Davidson,OH8,Republican,rank-and-file Republican,39,181,178,412
412706,0.7135294500510084,0.5359172498293845,Johnson,LA4,Republican,rank-and-file Republican,11,126,148,202
412673,0.6743206734480658,0.4428053856679026,Kelly,MS1,Republican,rank-and-file Republican,15,220,124,162
412624,0.6704251124084444,0.2932736766424692,Loudermilk,GA11,Republican,rank-and-file Republican,14,184,74,91
412295,0.6647515292565991,0.7083373111507932,McClintock,CA5,Republican,moderate Republican leader,20,171,271,365
412811,0.7531814791849789,0.3775099848807239,Meuser,PA9,Republican,conservative Republican,29,406,104,179
