state,district_number,year,democratic_vote_percentage,republican_vote_percentage,efficiency_gap,bias
INDIANA,8,1976,50.46,49.54,0.087,-0.002
INDIANA,9,1976,100.0,0.0,0.087,-0.002
INDIANA,10,1976,59.84,40.16,0.087,-0.002
INDIANA,11,1976,60.77,39.23,0.087,-0.002
KENTUCKY,1,1976,82.0,18.0,0.048,0.116
KENTUCKY,2,1976,60.36,39.64,0.048,0.116
KENTUCKY,3,1976,58.11,41.89,0.048,0.116
KENTUCKY,4,1976,44.13,55.87,0.048,0.116
KENTUCKY,5,1976,32.9,67.1,0.048,0.116
KENTUCKY,6,1976,100.0,0.0,0.048,0.116
KENTUCKY,7,1976,73.23,26.77,0.048,0.116
MARYLAND,1,1976,45.93,54.07,-0.017,0.043
MARYLAND,2,1976,79.79,20.21,-0.017,0.043
MARYLAND,3,1976,74.59,25.41,-0.017,0.043
MARYLAND,4,1976,42.33,57.67,-0.017,0.043
MARYLAND,5,1976,57.7,42.3,-0.017,0.043
MARYLAND,6,1976,70.84,29.16,-0.017,0.043
MARYLAND,7,1976,100.0,0.0,-0.017,0.043
MARYLAND,8,1976,47.42,52.58,-0.017,0.043
MASSACHUSETTS,1,1976,36.22,63.78,0.094,0.127
MASSACHUSETTS,2,1976,76.38,23.62,0.094,0.127
MASSACHUSETTS,3,1976,100.0,0.0,0.094,0.127
MASSACHUSETTS,4,1976,52.07,47.93,0.094,0.127
MASSACHUSETTS,5,1976,67.31,32.69,0.094,0.127
MASSACHUSETTS,6,1976,57.01,42.99,0.094,0.127
MASSACHUSETTS,7,1976,81.39,18.61,0.094,0.127
MASSACHUSETTS,8,1976,79.93,20.07,0.094,0.127
MASSACHUSETTS,9,1976,75.05,24.95,0.094,0.127
MASSACHUSETTS,10,1976,0.0,100.0,0.094,0.127
MASSACHUSETTS,11,1976,100.0,0.0,0.094,0.127
MASSACHUSETTS,12,1976,100.0,0.0,0.094,0.127
MICHIGAN,1,1976,93.39,6.61,0.0,-0.045
MICHIGAN,2,1976,49.91,50.09,0.0,-0.045
MICHIGAN,3,1976,48.98,51.02,0.0,-0.045
MICHIGAN,4,1976,39.23,60.77,0.0,-0.045
MICHIGAN,5,1976,46.43,53.57,0.0,-0.045
MICHIGAN,6,1976,53.15,46.85,0.0,-0.045
MICHIGAN,7,1976,71.18,28.82,0.0,-0.045
MICHIGAN,8,1976,59.38,40.62,0.0,-0.045
MICHIGAN,9,1976,29.58,70.42,0.0,-0.045
MICHIGAN,10,1976,43.11,56.89,0.0,-0.045
MICHIGAN,11,1976,45.02,54.98,0.0,-0.045
MICHIGAN,12,1976,52.63,47.37,0.0,-0.045
MICHIGAN,13,1976,90.26,9.74,0.0,-0.045
MICHIGAN,14,1976,66.98,33.02,0.0,-0.045
MICHIGAN,15,1976,74.97,25.03,0.0,-0.045
MICHIGAN,16,1976,76.98,23.02,0.0,-0.045
MICHIGAN,17,1976,65.09,34.91,0.0,-0.045
MICHIGAN,18,1976,66.87,33.13,0.0,-0.045
MICHIGAN,19,1976,32.8,67.2,0.0,-0.045
MINNESOTA,1,1976,30.87,69.13,-0.062,0.018
MINNESOTA,2,1976,39.66,60.34,-0.062,0.018
MINNESOTA,3,1976,32.59,67.41,-0.062,0.018
MINNESOTA,4,1976,69.04,30.96,-0.062,0.018
MINNESOTA,5,1976,73.14,26.86,-0.062,0.018
MINNESOTA,6,1976,59.79,40.21,-0.062,0.018
MINNESOTA,7,1976,73.02,26.98,-0.062,0.018
MINNESOTA,8,1976,100.0,0.0,-0.062,0.018
MISSOURI,1,1976,65.56,34.44,0.097,0.075
MISSOURI,2,1976,51.09,48.91,0.097,0.075
MISSOURI,3,1976,63.69,36.31,0.097,0.075
MISSOURI,4,1976,55.87,44.13,0.097,0.075
MISSOURI,5,1976,70.76,29.24,0.097,0.075
MISSOURI,6,1976,40.91,59.09,0.097,0.075
MISSOURI,7,1976,37.98,62.02,0.097,0.075
MISSOURI,8,1976,68.75,31.25,0.097,0.075
MISSOURI,9,1976,55.93,44.07,0.097,0.075
MISSOURI,10,1976,72.07,27.93,0.097,0.075
NEW JERSEY,1,1976,70.79,29.21,0.061,0.016
NEW JERSEY,2,1976,61.72,38.28,0.061,0.016
NEW JERSEY,3,1976,62.61,37.39,0.061,0.016
NEW JERSEY,4,1976,67.4,32.6,0.061,0.016
NEW JERSEY,5,1976,31.92,68.08,0.061,0.016
NEW JERSEY,6,1976,40.31,59.69,0.061,0.016
NEW JERSEY,7,1976,56.55,43.45,0.061,0.016
NEW JERSEY,8,1976,70.85,29.15,0.061,0.016
NEW JERSEY,9,1976,45.5,54.5,0.061,0.016
NEW JERSEY,10,1976,83.74,16.26,0.061,0.016
NEW JERSEY,11,1976,68.48,31.52,0.061,0.016
NEW JERSEY,12,1976,26.42,73.58,0.061,0.016
NEW JERSEY,13,1976,51.28,48.72,0.061,0.016
NEW JERSEY,14,1976,52.46,47.54,0.061,0.016
NEW JERSEY,15,1976,66.08,33.92,0.061,0.016
NEW YORK,1,1976,67.79,32.21,0.054,0.006
NEW YORK,2,1976,61.02,38.98,0.054,0.006
NEW YORK,3,1976,56.79,43.21,0.054,0.006
NEW YORK,4,1976,46.48,53.52,0.054,0.006
NEW YORK,5,1976,45.74,54.26,0.054,0.006
NEW YORK,6,1976,63.28,36.72,0.054,0.006
NEW YORK,7,1976,80.49,19.51,0.054,0.006
NEW YORK,8,1976,80.64,19.36,0.054,0.006
NEW YORK,9,1976,54.89,45.11,0.054,0.006
NEW YORK,10,1976,64.98,35.02,0.054,0.006
NEW YORK,11,1976,81.53,18.47,0.054,0.006
NEW YORK,12,1976,88.56,11.44,0.054,0.006
NEW YORK,13,1976,85.34,14.66,0.054,0.006
NEW YORK,14,1976,87.37,12.63,0.054,0.006
NEW YORK,15,1976,63.82,36.18,0.054,0.006
NEW YORK,16,1976,85.21,14.79,0.054,0.006
NEW YORK,17,1976,76.27,23.73,0.054,0.006
NEW YORK,18,1976,76.87,23.13,0.054,0.006
NEW YORK,19,1976,91.08,8.92,0.054,0.006
NEW YORK,20,1976,85.39,14.61,0.054,0.006
NEW YORK,21,1976,93.87,6.13,0.054,0.006
NEW YORK,22,1976,88.59,11.41,0.054,0.006
NEW YORK,23,1976,48.86,51.14,0.054,0.006
NEW YORK,24,1976,58.88,41.12,0.054,0.006
NEW YORK,25,1976,32.13,67.87,0.054,0.006
NEW YORK,26,1976,33.51,66.49,0.054,0.006
NEW YORK,27,1976,67.42,32.58,0.054,0.006
NEW YORK,28,1976,80.87,19.13,0.054,0.006
NEW YORK,29,1976,49.71,50.29,0.054,0.006
NEW YORK,30,1976,45.91,54.09,0.054,0.006
NEW YORK,31,1976,34.95,65.05,0.054,0.006
NEW YORK,32,1976,57.45,42.55,0.054,0.006
NEW YORK,33,1976,28.07,71.93,0.054,0.006
NEW YORK,34,1976,31.52,68.48,0.054,0.006
NEW YORK,35,1976,33.63,66.37,0.054,0.006
NEW YORK,36,1976,67.65,32.35,0.054,0.006
NEW YORK,37,1976,80.16,19.84,0.054,0.006
NEW YORK,38,1976,22.51,77.49,0.054,0.006
NEW YORK,39,1976,63.28,36.72,0.054,0.006
NORTH CAROLINA,1,1976,77.1,22.9,0.103,0.034
NORTH CAROLINA,2,1976,100.0,0.0,0.103,0.034
NORTH CAROLINA,3,1976,68.75,31.25,0.103,0.034
NORTH CAROLINA,4,1976,60.6,39.4,0.103,0.034
NORTH CAROLINA,5,1976,54.3,45.7,0.103,0.034
NORTH CAROLINA,6,1976,100.0,0.0,0.103,0.034
NORTH CAROLINA,7,1976,81.3,18.7,0.103,0.034
NORTH CAROLINA,8,1976,66.92,33.08,0.103,0.034
NORTH CAROLINA,9,1976,46.26,53.74,0.103,0.034
NORTH CAROLINA,10,1976,40.22,59.78,0.103,0.034
